SampleType,Sample,Filename
Control,C11,C11_merged
Control,C12,C12_merged
Control,C18,FCHJJJHCCXY_L3_WHMUSwskEAAIRAAPEI-65
Control,C21,C21_merged
Control,C22,C22_merged
Control,C28,FCHNY32CCXY_L5_WHMUShflEBAARAAPEI-19
Control,C31,C31_merged
Control,C32,C32_merged
Control,C38,FCHNY32CCXY_L5_WHMUShflEBABRAAPEI-20
Control,C41,FCHJT2KCCXY_L7_WHMUShrkEAAARAAPEI-70
Control,C42,FCHJT2KCCXY_L7_WHMUShrkEAABRAAPEI-71
Control,C48,FCHNY32CCXY_L5_WHMUShflEBACRAAPEI-21
Control,C51,FCHJT2KCCXY_L7_WHMUShrkEAAGRAAPEI-80
Control,C52,FCHJT2KCCXY_L7_WHMUShrkEAAHRAAPEI-81
Control,C58,FCHN2CNCCXY_L5_WHMUSxjtEAAARAAPEI-106
Control,C61,FCHJT2KCCXY_L8_WHMUShrkEAAMRAAPEI-94
Control,C62,FCHJT2KCCXY_L8_WHMUShrkEAANRAAPEI-100
Control,C68,FCHN2CNCCXY_L5_WHMUSxjtEAABRAAPEI-107
Control,C71,C71_merged
Control,C72,C72_merged
Control,C77,FCH53T5CCXY_L6_WHMUSlzwEAAWRAAPEI-207
Control,C78,FCH53T5CCXY_L6_WHMUSlzwEAAXRAAPEI-208
Control,C79,FCHN2CNCCXY_L5_WHMUSxjtEAACRAAPEI-108
Control,C81,C81_merged
Control,C82,C82_merged
Control,C87,FCHF35YCCXY_L3_WHMUSqamEAAERAAPEI-51
Control,C88,FCHJJJHCCXY_L3_WHMUSwskEAAERAAPEI-57
Control,C91,FCHJJJHCCXY_L3_WHMUSwskEAAFRAAPEI-60
Control,C92,FCHJJJHCCXY_L3_WHMUSwskEAAGRAAPEI-61
Control,C98,FCHJJJHCCXY_L3_WHMUSwskEAAHRAAPEI-62
Genpin,G96,FCHF35YCCXY_L4_WHMUSqamEAAIRAAPEI-56
Genpin,G97,FCHF35YCCXY_L4_WHMUSqamEAAJRAAPEI-57
Genpin,G98,FCHF35YCCXY_L4_WHMUSqamEAAKRAAPEI-59
Model,M13,M13_merged
Model,M14,M14_merged
Model,M15,M15_merged
Model,M16,M16_merged
Model,M23,M23_merged
Model,M24,M24_merged
Model,M25,M25_merged
Model,M26,M26_merged
Model,M33,M33_merged
Model,M34,M34_merged
Model,M35,M35_merged
Model,M36,M36_merged
Model,M43,FCHJT2KCCXY_L7_WHMUShrkEAACRAAPEI-72
Model,M44,FCHJT2KCCXY_L7_WHMUShrkEAADRAAPEI-73
Model,M45,FCHJT2KCCXY_L7_WHMUShrkEAAERAAPEI-74
Model,M46,FCHJT2KCCXY_L7_WHMUShrkEAAFRAAPEI-79
Model,M53,FCHJT2KCCXY_L7_WHMUShrkEAAIRAAPEI-82
Model,M54,FCHJT2KCCXY_L8_WHMUShrkEAAJRAAPEI-84
Model,M55,FCHJT2KCCXY_L8_WHMUShrkEAAKRAAPEI-86
Model,M56,FCHJT2KCCXY_L8_WHMUShrkEAALRABPEI-90
Model,M63,FCHJT2KCCXY_L8_WHMUShrkEAAORAAPEI-101
Model,M64,FCHJT2KCCXY_L8_WHMUShrkEAAPRAAPEI-106
Model,M65,FCHJT2KCCXY_L8_WHMUShrkEAAQRAAPEI-111
Model,M66,FCHJT2KCCXY_L8_WHMUShrkEAARRAAPEI-113
Model,M73,FCH553HCCXY_L6_WHMUSlzwEAASRAAPEI-202
Model,M74,FCH53T5CCXY_L6_WHMUSlzwEAATRAAPEI-203
Model,M75,FCH53T5CCXY_L6_WHMUSlzwEAAURAAPEI-205
Model,M76,FCH53T5CCXY_L6_WHMUSlzwEAAVRAAPEI-206
Model,M83,FCHF35YCCXY_L3_WHMUSqamEAAARAAPEI-45
Model,M84,FCHF35YCCXY_L3_WHMUSqamEAABRAAPEI-47
Model,M85,FCHF35YCCXY_L3_WHMUSqamEAACRAAPEI-48
Model,M86,FCHF35YCCXY_L3_WHMUSqamEAADRAAPEI-50
Model,M93,FCHF35YCCXY_L3_WHMUSqamEAAFRAAPEI-52
Model,M94,FCHF35YCCXY_L4_WHMUSqamEAAGRAAPEI-54
Model,M95,FCHF35YCCXY_L4_WHMUSqamEAAHRAAPEI-55
